"id_facility","id_worship_place","id_facility_condition"
2,M0002,1
5,M0004,1
6,M0005,1
12,M0002,1
13,M0043,1
14,M0043,2
15,M0044,1
13,M0038,
12,M0038,
5,M0038,
15,M0038,
14,M0038,
6,M0038,
11,M0038,
8,M0038,
9,M0038,
12,M0059,
11,M0059,
12,M0035,
7,M0035,
11,M0035,
13,M0053,
12,M0053,
16,M0053,
14,M0053,
7,M0053,
6,M0053,
11,M0053,
8,M0053,
9,M0053,
13,M0049,
12,M0049,
5,M0049,
16,M0049,
4,M0049,
15,M0049,
14,M0049,
7,M0049,
6,M0049,
11,M0049,
8,M0049,
13,M0006,
12,M0006,
5,M0006,
16,M0006,
7,M0006,
6,M0006,
11,M0006,
8,M0006,
9,M0006,
13,M0026,
12,M0026,
7,M0026,
6,M0026,
11,M0026,
13,M0056,
12,M0056,
5,M0056,
16,M0056,
7,M0056,
6,M0056,
11,M0056,
13,M0031,
12,M0031,
5,M0031,
16,M0031,
4,M0031,
17,M0031,
7,M0031,
6,M0031,
11,M0031,
8,M0031,
13,M0014,
12,M0014,
5,M0014,
16,M0014,
4,M0014,
17,M0014,
14,M0014,
7,M0014,
6,M0014,
11,M0014,
8,M0014,
1,M0014,
3,M0014,
10,M0014,
9,M0014,
13,M0039,
12,M0039,
5,M0039,
16,M0039,
17,M0039,
14,M0039,
7,M0039,
6,M0039,
11,M0039,
8,M0039,
9,M0039,
13,M0050,
12,M0050,
5,M0050,
16,M0050,
4,M0050,
17,M0050,
15,M0050,
14,M0050,
7,M0050,
6,M0050,
11,M0050,
8,M0050,
1,M0050,
3,M0050,
2,M0050,
10,M0050,
9,M0050,
13,M0058,
12,M0058,
7,M0058,
11,M0058,
8,M0058,
13,M0029,
12,M0029,
5,M0029,
14,M0029,
7,M0029,
6,M0029,
11,M0029,
8,M0029,
13,M0021,
12,M0021,
5,M0021,
7,M0021,
6,M0021,
11,M0021,
13,M0028,
12,M0028,
7,M0028,
6,M0028,
11,M0028,
8,M0028,
13,M0001,
12,M0001,
7,M0001,
6,M0001,
11,M0001,
8,M0001,
13,M0051,
12,M0051,
5,M0051,
14,M0051,
7,M0051,
6,M0051,
11,M0051,
8,M0051,
13,M0025,
12,M0025,
5,M0025,
4,M0025,
7,M0025,
6,M0025,
11,M0025,
8,M0025,
13,M0015,
12,M0015,
5,M0015,
14,M0015,
7,M0015,
6,M0015,
11,M0015,
8,M0015,
13,M0027,
12,M0027,
5,M0027,
7,M0027,
6,M0027,
11,M0027,
8,M0027,
2,M0027,
10,M0027,
9,M0027,
13,M0017,
12,M0017,
5,M0017,
7,M0017,
6,M0017,
11,M0017,
8,M0017,
13,M0012,
12,M0012,
5,M0012,
7,M0012,
6,M0012,
11,M0012,
8,M0012,
13,M0032,
12,M0032,
5,M0032,
16,M0032,
14,M0032,
7,M0032,
6,M0032,
11,M0032,
13,M0024,
12,M0024,
5,M0024,
16,M0024,
6,M0024,
11,M0024,
8,M0024,
13,M0045,
12,M0045,
5,M0045,
7,M0045,
6,M0045,
11,M0045,
13,M0008,
12,M0008,
5,M0008,
7,M0008,
6,M0008,
11,M0008,
8,M0008,
13,M0030,
12,M0030,
5,M0030,
16,M0030,
4,M0030,
17,M0030,
7,M0030,
6,M0030,
11,M0030,
13,M0041,
12,M0041,
5,M0041,
7,M0041,
6,M0041,
11,M0041,
12,M0033,
7,M0033,
6,M0033,
11,M0033,
3,M0033,
13,M0016,
12,M0016,
5,M0016,
7,M0016,
6,M0016,
11,M0016,
8,M0016,
13,M0011,
12,M0011,
5,M0011,
14,M0011,
7,M0011,
11,M0011,
3,M0011,
9,M0011,
13,M0057,
12,M0057,
5,M0057,
7,M0057,
6,M0057,
11,M0057,
8,M0057,
13,M0019,
12,M0019,
7,M0019,
6,M0019,
11,M0019,
13,M0007,
12,M0007,
5,M0007,
7,M0007,
6,M0007,
11,M0007,
13,M0034,
12,M0034,
7,M0034,
11,M0034,
13,M0040,
12,M0040,
5,M0040,
7,M0040,
6,M0040,
11,M0040,
8,M0040,
13,M0055,
12,M0055,
5,M0055,
7,M0055,
6,M0055,
11,M0055,
8,M0055,
13,M0020,
12,M0020,
5,M0020,
16,M0020,
4,M0020,
7,M0020,
6,M0020,
11,M0020,
12,M0046,
7,M0046,
11,M0046,
13,M0010,
12,M0010,
5,M0010,
4,M0010,
17,M0010,
14,M0010,
7,M0010,
6,M0010,
11,M0010,
8,M0010,
1,M0010,
3,M0010,
2,M0010,
10,M0010,
9,M0010,
13,M0054,
12,M0054,
7,M0054,
6,M0054,
11,M0054,
8,M0054,
13,M0036,
12,M0036,
7,M0036,
11,M0036,
13,M0037,
7,M0037,
6,M0037,
11,M0037,
12,M0018,
7,M0018,
6,M0018,
11,M0018,
8,M0018,
13,M0022,
12,M0022,
7,M0022,
6,M0022,
11,M0022,
8,M0022,
13,M0009,
12,M0009,
5,M0009,
7,M0009,
6,M0009,
11,M0009,
13,M0023,
12,M0023,
5,M0023,
7,M0023,
6,M0023,
11,M0023,
8,M0023,
2,M0023,
10,M0023,
9,M0023,
13,M0048,
12,M0048,
5,M0048,
11,M0048,
10,M0048,
13,M0042,
12,M0042,
5,M0042,
7,M0042,
6,M0042,
11,M0042,
12,M0003,
5,M0003,
14,M0003,
7,M0003,
6,M0003,
11,M0003,
3,M0003,
13,M0060,
12,M0060,
14,M0060,
7,M0060,
6,M0060,
11,M0060,
13,M0061,
12,M0061,
5,M0061,
15,M0061,
14,M0061,
18,M0061,
7,M0061,
6,M0061,
11,M0061,
8,M0061,
1,M0061,
10,M0061,
9,M0061,
13,M0013,
12,M0013,
5,M0013,
16,M0013,
4,M0013,
17,M0013,
15,M0013,
14,M0013,
7,M0013,
6,M0013,
11,M0013,
8,M0013,
3,M0013,
2,M0013,
