"id_product","id_small_industry","price"
9,IK033,30000
14,IK033,10000
13,IK033,30000
8,IK010,100000
12,IK010,15000
11,IK010,150000
14,IK010,20000
15,IK010,30000
3,IK010,400000
12,IK007,100000
7,IK007,150000
2,IK007,300000
5,IK041,150000
8,IK041,150000
12,IK041,300000
1,IK041,200000
13,IK041,50000
7,IK041,200000
2,IK041,300000
6,IK041,150000
12,IK036,200000
11,IK036,150000
7,IK036,250000
2,IK036,350000
3,IK036,500000
6,IK036,150000
14,IK005,20000
15,IK005,30000
6,IK005,150000
12,IK016,200000
1,IK016,200000
13,IK016,30000
2,IK016,250000
8,IK022,150000
12,IK022,250000
11,IK022,250000
1,IK022,150000
4,IK022,150000
2,IK022,350000
3,IK022,1000000
8,IK003,300000
12,IK003,350000
11,IK003,350000
2,IK003,300000
7,IK038,150000
2,IK038,150000
7,IK042,150000
2,IK042,150000
7,IK011,150000
2,IK011,150000
12,IK052,100000
11,IK052,100000
5,IK020,50000
8,IK020,100000
12,IK020,100000
11,IK020,200000
1,IK020,200000
4,IK020,150000
9,IK020,100000
13,IK020,50000
2,IK020,350000
6,IK020,150000
12,IK034,100000
11,IK034,100000
12,IK008,250000
11,IK008,250000
3,IK008,1000000
12,IK032,100000
11,IK032,100000
12,IK023,100000
11,IK023,100000
7,IK043,150000
2,IK043,150000
7,IK047,150000
2,IK047,150000
7,IK046,150000
2,IK046,150000
7,IK044,150000
2,IK044,150000
7,IK045,150000
2,IK045,150000
7,IK048,150000
2,IK048,150000
12,IK039,200000
11,IK039,200000
12,IK012,200000
1,IK012,200000
13,IK012,35000
2,IK012,300000
12,IK017,100000
11,IK017,100000
1,IK017,200000
4,IK017,200000
2,IK017,350000
12,IK028,200000
11,IK028,200000
8,IK021,200000
12,IK021,200000
11,IK021,200000
16,IK024,50000
12,IK037,200000
11,IK037,200000
12,IK009,300000
11,IK009,300000
1,IK009,150000
9,IK009,100000
7,IK009,350000
2,IK009,350000
7,IK014,100000
2,IK014,150000
12,IK035,150000
11,IK035,150000
2,IK035,200000
12,IK002,150000
11,IK002,150000
2,IK002,250000
8,IK019,150000
12,IK019,250000
11,IK019,250000
1,IK019,150000
4,IK019,100000
2,IK019,300000
12,IK004,150000
11,IK004,150000
1,IK004,150000
4,IK004,150000
2,IK004,200000
5,IK015,150000
8,IK015,200000
12,IK015,200000
11,IK015,200000
1,IK015,150000
4,IK015,100000
9,IK015,50000
13,IK015,30000
2,IK015,350000
12,IK013,200000
11,IK013,200000
1,IK001,40000
2,IK001,150000
3,IK001,1000000
10,IK001,1000000
16,IK029,100000
8,IK040,100000
12,IK031,150000
1,IK031,100000
7,IK031,200000
