"id","name"
1,Nasi Goreng
2,Bakso
3,Mie Ayam
4,Coffe
5,Roti Panggang
6,Mie Aceh
7,Kopi Aceh
8,Es Krim Goreng
9,Ayam Crispy
10,Sate Madura
11,Ramen
12,Tomyan
13,Sapi Lada Hitam
14,Tahu Gembos
15,Coffe
16,Pisang Cokelat
17,Ice Cream
18,Roti Bakar
19,Pizza
20,Spaghetti
21,Udang Goreng Tepung
22,Kepiting Saus Pedas
23,Beef Teriyaki
24,Seafood (Kakap dan K
25,Kue Brownies
26,Burger
27,Bakso Iga
28,Donat
29,Kwetiaw
30,Pancake
31,Chicken Katsu
32,Roti Boy
33,Soto Paru
34,Gado-gado
35,Batagor
36,Soerabi
37,Bakso Urat
38,Nasi Gila
39,Mie Rica Hotplate
40,Ketan Susu
41,Susu
42,Iga Bakar
43,Steak
44,Sungle Origin (Black
45,Chinese Food
46,Fish Stick
47,Ice Vanila
48,Mihun Kuah
49,Bubur Ayam
50,Sate Danguang-dangua
51,Martabak
